32720,4.08725,4.0
86794,8.809,7.75
73798,6.2575,6.0
141312,10.7795,10.75
23957,6.153,6.0
11981,9.869,9.0
114075,11.2285,11.0
21427,16.626,14.5
81523,4.529,4.0
122926,13.26625,12.0
75692,2.62825,2.5
33404,17.56775,15.75
8040,17.9075,16.5
71824,7.46525,6.25
86441,4.49875,4.25
130331,7.77425,7.5
77429,5.07725,4.75
24238,7.54875,7.5
84008,9.9015,9.5
135211,14.53625,12.75
91213,16.65025,14.75
25931,11.23875,11.0
105797,5.53225,5.5
73399,5.115,4.0
34693,11.07275,9.5
66741,10.1075,9.0
23122,5.738,5.0
14244,13.27875,12.625
69877,8.494,8.25
134115,12.8445,11.0
13447,4.01075,3.375
68662,7.23575,6.5
89998,8.217,6.75
122980,10.71925,10.5
13846,10.27375,9.25
14000,11.46375,9.75
19277,8.361,7.5
122945,17.532,15.75
68049,5.03825,4.75
23547,9.7485,8.5
93160,11.175,9.5
69517,12.34425,10.25
9298,9.43575,9.375
70676,9.192,9.0
135727,8.125,6.5
317506,16.298,14.5
13814,4.4305,4.5
52197,5.349,5.0
96182,12.705,11.75
90907,6.115,5.5
4511,14.1895,13.0
33748,5.96775,5.5
115726,9.082,8.75
10839,5.8825,5.5
34131,10.898,10.75
111212,12.174,11.25
109915,14.93225,13.25
108226,26.90425,24.75
108176,2.1875,2.0
44847,4.24725,4.0
136451,14.508,14.25
80767,14.20925,12.75
20973,4.412,4.0
134459,12.32225,11.0
67491,11.69925,10.5
29106,4.9515,4.5
101664,11.68275,11.5
318153,11.80075,11.0
3807,11.5285,9.25
42947,8.713,7.25
38772,8.491,8.5
132360,9.51225,9.5
23444,13.754,12.75
90996,0.987,0.75
131171,6.029,5.0
82593,10.9405,11.0
107395,6.272,5.0
76304,8.33975,7.0
26013,12.3775,11.5
106086,9.11225,8.5
5835,5.95175,5.5
90918,7.67575,7.5
101550,4.87325,4.625
29809,7.30775,6.5
106880,26.9485,24.5
136896,10.9345,10.75
29798,7.16125,6.0
29026,5.1015,5.0
91909,16.63975,14.75
101859,9.009,9.0
12187,8.082,7.75
92550,5.54575,5.5
322655,5.1225,4.75
234363,14.80325,13.75
90780,12.245,11.25
74921,21.56875,20.0
24711,15.20325,14.25
141172,5.6705,5.5
37204,15.001,13.5
29796,4.159,3.0
69344,14.501,13.0
136776,8.6595,8.5
117973,4.68825,4.5
83683,17.719,17.0
131519,12.63175,11.0
86425,9.7405,8.75
83532,16.532,15.0
123481,12.507,12.375
21778,6.3595,6.25
25604,4.764,4.0
107462,0.498,0.0
86454,4.73625,4.0
118244,12.7385,12.75
23220,11.05925,11.25
21686,9.40175,8.5
81726,5.3025,5.25
105720,6.8175,6.0
94935,5.1865,5.0
73380,13.952,11.0
19155,6.0615,5.75
71345,6.62725,6.0
8166,13.4355,12.75
18181,6.88125,6.75
78498,19.92925,17.75
41868,6.57,6.25
25363,10.78825,9.25
97752,15.44375,14.0
22847,4.968,4.5
33386,7.8645,6.25
38128,6.3105,6.0
79554,10.0365,11.0
300299,14.22525,12.0
35371,7.0045,5.5
8507,8.4715,7.75
108724,15.8145,14.0
27550,6.9515,6.75
22079,7.181,6.25
316077,6.02275,5.75
110189,8.147,8.0
107941,4.60775,4.25
25964,10.78625,8.75
29544,7.271,7.0
91434,12.28525,12.0
5625,7.08125,7.0
188,6.278,6.0
36849,9.40425,9.0
3859,22.20325,20.0
69346,13.0305,11.375
141469,4.40275,3.25
255961,7.42225,7.25
43712,9.64575,9.25
11530,7.7715,7.0
6105,6.55875,6.375
40036,10.15175,9.0
299272,12.9735,12.5
8157,3.664,3.25
106981,10.31875,8.5
90000,4.54175,3.75
97635,9.7805,9.625
104749,13.35425,11.5
69956,9.58725,9.25
68393,13.416,12.0
34052,4.38425,3.75
27349,6.2565,5.75
327683,13.9955,13.75
42147,10.36275,9.75
10133,5.457,4.0
99487,9.3905,9.0
21499,8.924,8.5
12431,9.91975,9.5
32323,15.178,14.0
19545,7.231,6.0
317804,13.5755,12.25
33590,7.6205,6.5
131487,8.65175,7.0
136945,12.811,11.375
